dataset_record_id,tweet_id,system,model,model_version_or_revision,generated_translation,generation_status,generation_timestamp,run_id,input_sha256,record_input_sha256,output_sha256,attempted,runtime_seconds,error_code,metadata_json
record:ee6b9bf66dbd6cc0b279c62c96becca3157dae6b07ad5957b0bf86ea16fdcc81,1012190838569521157,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert Nangloi to Najafgarh Road near Nangloi Crematorium and TVS Showroom is blocked. Please avoid using this route.,SUCCESS,2026-09-12T15:27:35.267630+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,edce16bd0719d954377c7715764a0c8a59746094eda5d6de2c7c52d8e6a54d8f,cee0a93451f7fc40ee22e8cbdea4eea37a9407cabf6f0d075912f3e550a3a410,True,14.159734,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:b677d82edd185e99921406af6cd74e1ca04bb5aab3b622b63690af7ed7c0e913,1036139686652039169,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert A tree has fallen near Agarwal Sweets on Abhay Marg Traffic is affected.,SUCCESS,2026-09-12T15:27:49.429518+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,0fd0b71da3bf4c3746c36be1bccde258d1a3c43181b83b76f24a5f482b5af569,a917ccc27779e115c87f7e73d9b02c1d238b8e1d3206be05018a4dc8020fdd99,True,15.395166,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:4ca521b25942749878330404fbd061bae37f4b7a2e441b23ac7251b9c10890f2,558811604566179840,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,"Traffic Alert Sardar Patel Marg will be closed due to rehearsals from 9AM onwards for approximately 1: 30 am to 1: 00 pm, inconvenience is regretted.",SUCCESS,2026-09-12T15:28:04.814649+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,148a4a2cf732745036fae30c44123cf767eb8ba031e64ad7bef7b635db06f02c,89b555f4e76d62aa841fc8f60e435b552e683033cf10dd1c9b1b48ec774ca442,True,72.958247,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:5061a97dc3a3cbfa703e6feb9541c63497cd748ae95e8d547dfcd8f065a5757d,1026805620727529472,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic on Outer Ring Road en route from Chirag Delhi to Nehru Place is disrupted due to a road caving in near GK-2 Metro Station.,SUCCESS,2026-09-12T15:29:17.786131+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,1d851bc296b1b660ff205790c3247a9aafa7ab1d98a058c5e0326a6e694574ff,eb8ac986e9f5bdb750dc1b656ae56457721dab9a98a1c0a5c1f7658829941f11,True,31.415403,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:94de5bdc1318d567088043953c8c20795dc740f870ac0727cd36b5eb5fd76122,1090608305989476357,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert Traffic on route from Mundka to Rani Kheda (both carriageways) is disrupted due to fallen electric poles.,SUCCESS,2026-09-12T15:29:49.201716+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9ef09b520c58fdc48b63c803b01d23ee13e60e60bc9b731b2f13e7e006e06b37,db89170aaefff34292c3f2aac18ec9aaf44e5b1c6178f5a62ece09a32c32bacb,True,9.680518,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:4f17e94f099fbf214d453bfebd75a1c5979c141dfee8f78dcd256dcbfd8ff0f4,1072369605442715649,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert IGL (Indraprastha Gas Ltd) work is going on in the route from Liberty Cinema towards Kamal T Point due to which traffic is affected.,SUCCESS,2026-09-12T15:29:58.883753+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9c64a9f45d5bcfc690df7fbe10dfd384fd98968a6b14e1b476f5cc8958c3b5ee,c339d0bb1fde8ab64eec9f6b7ca850d47ed70a61f51160105c5c78db1f11b7af,True,28.701759,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:02f6a69f3714c2ec41b69b760691e1d937446bd26a14077a00b2fb97daa5bce7,634055024218349568,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert Traffic on Rani Jhansi Road is normal now.,SUCCESS,2026-09-12T15:30:27.583786+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,d5dfece38517f41633a7708125f5f7d53038c61a79ec8958a48a9b2719cd7414,a5b4136bd0351a5835343c1063a9e710b51590b2d3066daf0c8cd9747f186b04,True,16.601968,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:df8ad61816073f0629f33d910c492214c8361c6d8852c7edd3d925e85895d753,910364679301681153,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert: Vehicles that want to go from Vasant Vihar towards Gurugram or the airport can take the Nelson Mandela Road.,SUCCESS,2026-09-12T15:30:44.177130+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,13c840caf38b58d6d787d6361cede9c32ef0b8de00d83b35fe3362a8d29d379e,c1493a517bd3f80500ae49beb250fbdc63f6b81ab5a9fbc90e6883b33d5e22b1,True,46.60129,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:d6c991350b25a5eef3d31c6bfc26a7c83190976a42eb0bb6b60f3c4f22db6658,1036507271302340609,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert: Traffic on Indramohan Bhardwaj Marg Kalindi Kunj is disrupted due to waterlogging!,SUCCESS,2026-09-12T15:31:30.789103+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,ac8bbb3edefde3f21fc62bf4aad8b0460783acc07d2d23fe2a602b054023ba51,455b88dfeeed2a953ebdc1ecd922bc1c65a162ab20e97a61f5504ec2c1cecd0d,True,19.238247,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:14baa78ac3f1c1b74c9115dd863432f03395e9691b60e0520a80caaf83f7eba0,864089977109401601,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,"Traffic Alert A tree has fallen in front of the BJP office on the road leading to Windsor Place from Jaswant Singh roundabout, disrupting traffic.",SUCCESS,2026-09-12T15:31:50.031621+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,a22ab834991b10cbc7ec47a506ea71ff7cfe671fd7f16badeb151ac9c7aaba29,b1ad02968af2097ad89a098024268917538bcb4b5f532970b6bd819b70f2034f,True,8.614697,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
