dataset_record_id,tweet_id,selection_families,original_hindi,legacy_translation,indictrans2_candidate,google_candidate,openai_candidate,ollama_candidate,indictrans2_generation_status,google_generation_status,openai_generation_status,ollama_generation_status,audit_note,validation_assessment
record:009f3c4b06cb02a6cbbcccf665c464d3019f5d86ae82b22ba6ae6dbd197fad43,603213557346492417,proper_names,Traffic Alert लोहा मंडी रेड लाइट पर एक DTC Bus No. DL1PC 0422 ख़राब हो गई है जिसे जल्दी हटवा दिया जायेगा| असुविधा के लिए खेद है |,"A DTC Bus No. on Iron Maiden Red Light DL1PC 0422 has been corrupted, which will be deleted soon. Sorry for the inconvenience.",Traffic Alert A DTC bus no. DL1PC 0422 Kh\ u093C has been stuck at Loha Mandi red light which will be removed soon. Sorry for the inconvenience.,,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Loha Mandi becomes Iron Maiden.,INDEPENDENT_REVIEW_REQUIRED
record:016c7be173e295ea00e1f29572d51ed4f98282b3be8fa4f436f7cf531647a6d3,933193259106516997,proper_names,"Traffic Alert आज़ाद मार्केट चौक पर रानी झाँसी ब्रिज कंस्ट्रक्शन के काम कारण ट्रैफिक एक carriageway में चल रहा है ! जिसके कारण आज़ाद मार्किट,सदर बाजार ,बर्फ खाना ,पुल बंगश ,रोशनआरा रोड ,तीस हज़ारी और ISBT पर ट्रैफिक बाधित रहेगा।","The work of Queen Jhansi bridge construction on Azad Market Chowk is due to traffic in a carriageway! Due to which traffic will be disrupted due to free market, Sadar Bazar, Ice Catering, Pul Bangash, Roshanara Road, Thirty Hazaris and ISBT.","Traffic Alert Traffic is moving in one carriageway at Azad Market Chowk due to Rani Jhansi Bridge construction work! Traffic will be disrupted at Azad Market, Sadar Bazar, Barf Khana, Pul Bangash, Roshanara Road, Tis Hazari and ISBT.",,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,"Azad Market, Baraf Khana and Rani Jhansi become free market, Ice Catering and Queen Jhansi.",INDEPENDENT_REVIEW_REQUIRED
record:05c53039655fbf68bb1d52d853f7ddb1e872024368daa32d47c9c4ec1f803219,629690451868692480,directionality,Traffic Alert अधचिनी रेड लाइट पर जल भराव के कारण यातायात को अधचिनी से वसंत विहार की तरफ डाइवर्ट कर दिया गया है| असुविधा के लिए खेद है |,traffic has been diverted towards Vasant Vihar due to water stress due to water purifier red light. Sorry for the inconvenience.,Traffic Alert Traffic has been diverted from Adchini towards Vasant Vihar due to waterlogging at Adchini red light. Sorry for the inconvenience.,,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Adchini is replaced by water purifier; diversion origin disappears.,INDEPENDENT_REVIEW_REQUIRED
record:0d73847b17b3e611c460953500a02e6e69d6676cec042bd35e350e9a8238938a,1082613947742728193,directionality,Traffic Alert ईदगाह से तीस हजारी जाने वाले मार्ग (रानी झांसी फ्लाई ओवर) पर दिल्ली जल बोर्ड वाले काम कर रहे है जिसके कारण आज रात तक फ्लाई ओवर यातायात के लिए बन्द रहेगाI,"is working on the Delhi Jal Board (Rani Jhansi Flyover) route from Thane Hazar to Idgah, which will be closed for traffic by tonight.","Traffic Alert Delhi Jal Board officials are working on the route (Rani Jhansi Flyover) from Eidgah to Tis Hazari, due to which the Flyover will be closed for traffic till tonight.",,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Idgah to Tis Hazari becomes Thane Hazar to Idgah.,INDEPENDENT_REVIEW_REQUIRED
record:4d285ed5ed00a75dad17744da21e50f97c9f8541655da9c6658810dd0ddafb17,1046227325908668417,via,"Traffic Alert फोर्टिस हॉस्पिटल से पैदल यात्रा चल रही है, जो मोदी फ्लाईओवर से कालका जी तथा कालका जी से यू टर्न ले कर वापिस मोदी फ्लाई ओवर होते हुए फोर्टिस हॉस्पिटल पहुचेगीI कृप्या इस मार्ग के प्रयोग से बचेI","is traveling on foot from Fortis Hospital, who will fly from Modi flyover to Kalka ji and Kalka ji to return to the Fortis Hospital after returning from U turn, I will be avoiding the use of this route.","Traffic Alert: Walking from Fortis Hospital, which is Kalkaji via Modi Flyover and U-turn from Kalkaji, back to Fortis Hospital via Modi Flyover.",,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Return leg via Modi flyover is lost; the flyover is preserved only in the outbound leg.,INDEPENDENT_REVIEW_REQUIRED
record:5d8cb8b3c67deeff71fe3339921bb0aae3fb8779fd43f4ff1bf006ecb469419b,1068109520797192193,via,Traffic Alert अखिल भारतीय किसान संघर्ष समन्वय समिति मार्च जो NH 8 से धौला कुआँ होते हुए रामलीला मैदान जायेगा वो वन्देमातरम मार्ग पर पहुँच चुका है जिसके कारण इस मार्ग पर यातायात प्रभावित हैI,"All India Farmers' Coordination Coordination Committee, which runs from Ramlila Ground to NH-8 from Dhaula Kua, has reached Vande Mataram Marg due to which traffic on this route is affected.",Traffic Alert All India Kisan Sangharsh Coordination Committee march from NH 8 to Ramlila Maidan via Dhaula Kuan has reached Vande Mataram Marg due to which traffic on this route is affected.,,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,NH8 via Dhaula Kuan to Ramlila Maidan becomes from Ramlila Ground to NH8 from Dhaula Kua.,INDEPENDENT_REVIEW_REQUIRED
record:26119785699255f41b89e26b0c365b2da18f40fa8ae0834e856694c73d865550,569719704299937793,near,Traffic Alert मायापुरी फ्लाईओवर के पास यातायात अब सामान्य है जो दिल्ली जल बोर्ड द्वारा किये जा रहे कार्य के कारण बाधित था |,"The traffic near Mayapuri flyover is now normal, which was interrupted due to the work being done by the Delhi Jal Board.",Traffic Alert Traffic is now normal near Mayapuri Flyover which was obstructed due to work being done by Delhi Jal Board.,,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Near Mayapuri flyover retained.,INDEPENDENT_REVIEW_REQUIRED
record:4280eb3b0b03f33742931d75ad082789f68f58a181ec6b1f7b0f7505c13f4a51,1123918692474028033,near,"Traffic Alert M.B रोड से महरौली जाने वाले मार्ग पर खानपुर के पास 1 पेड़ गिर गया है, जिस कारण यातायात बाधित हैI","On the route from M.B Road to Mahrauli, one tree has fallen near Khanpur, due to which traffic is interrupted.","Traffic Alert 1 tree has fallen near Khanpur on the route from M.B Road to Mehrauli, due to which traffic is disrupted.",,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,"MB Road to Mehrauli, near Khanpur retained.",INDEPENDENT_REVIEW_REQUIRED
record:7be445a69b3d10e15b02c5d740b678e9ce7f6aca9c6976ae1a544ed15e37bede,613951248434397184,between,Traffic Alert अरबिंदो चौक व R/A तुगलक रोड के बीच में यातायात अब सामान्य है|,Aurobindo Chowk and R / A Tughlaq Road traffic is now normal.,Traffic Alert Traffic is now normal between Aurobindo Chowk and R / A Tughlaq Road.,,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Between Aurobindo Chowk and Tughlaq Road becomes a list.,INDEPENDENT_REVIEW_REQUIRED
record:d7e71b1df0386620fd9c81ec4144399677925f48debbbf13ce3c466bb4e93faf,613932865206792192,between,Traffic Alert अरबिंदो चौक व R/A तुगलक रोड के बीच में यातायात को डाइवर्ट किया गया है| असुविधा के लिए खेद हैं|,The traffic has been diverted between Aurobindo Chowk and R / A Tughlaq Road. Sorry for the inconvenience.,Traffic Alert Traffic has been diverted between Aurobindo Chowk and R / A Tughlaq Road. Sorry for the inconvenience.,,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Between Aurobindo Chowk and Tughlaq Road retained.,INDEPENDENT_REVIEW_REQUIRED
