dataset_record_id,tweet_id,system,model,model_version_or_revision,generated_translation,generation_status,generation_timestamp,run_id,input_sha256,record_input_sha256,output_sha256,attempted,runtime_seconds,error_code,metadata_json
record:ee6b9bf66dbd6cc0b279c62c96becca3157dae6b07ad5957b0bf86ea16fdcc81,1012190838569521157,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert on the road from Nangloi to Najafgarh is blocked due to a road collapse near Nangloi crematorium and TVS showroom, causing traffic congestion. Please avoid using this route.",SUCCESS,2026-09-12T07:14:49.779727+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,edce16bd0719d954377c7715764a0c8a59746094eda5d6de2c7c52d8e6a54d8f,88da8091730b15b5b45b142d2609893d2f05a7a3fe9e6714c85bc4a3fcc478cb,True,3.190968,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""0fbcf486fbd74a75ef72d9b958a76c98"",""usage"":{""completion_tokens"":381,""completion_tokens_details"":null,""prompt_tokens"":783,""prompt_tokens_details"":null,""total_tokens"":1164}}"
record:b677d82edd185e99921406af6cd74e1ca04bb5aab3b622b63690af7ed7c0e913,1036139686652039169,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,Traffic Alert a tree has fallen near Agarwal Sweets on Abhay Marg and is affecting traffic.,SUCCESS,2026-09-12T07:14:52.970282+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,0fd0b71da3bf4c3746c36be1bccde258d1a3c43181b83b76f24a5f482b5af569,a3cc203a863d4d52d965f7f48b9f324539593ac6ef225b917e6c000e049fbfa1,True,1.573786,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""20fa17bd5791dcbb9eed3069c9478424"",""usage"":{""completion_tokens"":183,""completion_tokens_details"":null,""prompt_tokens"":736,""prompt_tokens_details"":null,""total_tokens"":919}}"
record:4ca521b25942749878330404fbd061bae37f4b7a2e441b23ac7251b9c10890f2,558811604566179840,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:14:54.542867+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,148a4a2cf732745036fae30c44123cf767eb8ba031e64ad7bef7b635db06f02c,,True,2.00851,MALFORMED_STRUCTURED_OUTPUT,{}
record:5061a97dc3a3cbfa703e6feb9541c63497cd748ae95e8d547dfcd8f065a5757d,1026805620727529472,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert due to road subsidence near GK-2 Metro Station on Outer Ring Road, traffic is disrupted on the route from Delhi to Nehru Place.",SUCCESS,2026-09-12T07:14:56.552634+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,1d851bc296b1b660ff205790c3247a9aafa7ab1d98a058c5e0326a6e694574ff,a7c7079804c75c2523d3648eb1b2e6871edd6ede2fa7cb14fecc9f9e3ca19b12,True,2.561516,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""f30fbc7298a10161ce2499202888c2e3"",""usage"":{""completion_tokens"":418,""completion_tokens_details"":null,""prompt_tokens"":771,""prompt_tokens_details"":null,""total_tokens"":1189}}"
record:94de5bdc1318d567088043953c8c20795dc740f870ac0727cd36b5eb5fd76122,1090608305989476357,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert due to fallen electric poles, traffic is disrupted on the road leading to Rani Kheda from Mundka (both carriageways)",SUCCESS,2026-09-12T07:14:59.115449+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9ef09b520c58fdc48b63c803b01d23ee13e60e60bc9b731b2f13e7e006e06b37,94c491d3f909ff02e486acd2dd35b5d6df2ae6962cdd2a5a04cf538fb17d82bb,True,1.975577,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""e2942b9ebaf0cbc2ec1c387c7b81a991"",""usage"":{""completion_tokens"":217,""completion_tokens_details"":null,""prompt_tokens"":758,""prompt_tokens_details"":null,""total_tokens"":975}}"
record:4f17e94f099fbf214d453bfebd75a1c5979c141dfee8f78dcd256dcbfd8ff0f4,1072369605442715649,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:15:01.082173+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9c64a9f45d5bcfc690df7fbe10dfd384fd98968a6b14e1b476f5cc8958c3b5ee,,True,2.014515,MALFORMED_STRUCTURED_OUTPUT,{}
record:02f6a69f3714c2ec41b69b760691e1d937446bd26a14077a00b2fb97daa5bce7,634055024218349568,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,Traffic Alert Rani Jhansi Road is now normal.,SUCCESS,2026-09-12T07:15:03.099393+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,d5dfece38517f41633a7708125f5f7d53038c61a79ec8958a48a9b2719cd7414,b09a57d9fdbb237b2d954bd519c8484ad489faf45ee0db8c1af39248a23e188a,True,1.393755,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""92df85bd0ad81fb4ba627fe5260fdf27"",""usage"":{""completion_tokens"":100,""completion_tokens_details"":null,""prompt_tokens"":724,""prompt_tokens_details"":null,""total_tokens"":824}}"
record:df8ad61816073f0629f33d910c492214c8361c6d8852c7edd3d925e85895d753,910364679301681153,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert those who want to go from Vasant Vihar to Gurugram or towards the Airport, can go via Nelson Mandela Marg",SUCCESS,2026-09-12T07:15:04.499393+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,13c840caf38b58d6d787d6361cede9c32ef0b8de00d83b35fe3362a8d29d379e,b05d2419cf7ca77daf2564d617304d94b8c1264855166958dd7c4386b777be6b,True,2.516211,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""73a7dcdb63cff483f651b4c40f3e7ba3"",""usage"":{""completion_tokens"":304,""completion_tokens_details"":null,""prompt_tokens"":753,""prompt_tokens_details"":null,""total_tokens"":1057}}"
record:d6c991350b25a5eef3d31c6bfc26a7c83190976a42eb0bb6b60f3c4f22db6658,1036507271302340609,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,Traffic Alert Indramohan Bhardwaj Marg is blocked due to waterlogging at Kalindi Kunj!,SUCCESS,2026-09-12T07:15:07.015748+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,ac8bbb3edefde3f21fc62bf4aad8b0460783acc07d2d23fe2a602b054023ba51,0b051f4158ce6009e40b08c50236884727e7ec7f5acb9563d9e3531febf5c8a1,True,1.692586,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""4149d1b90e4f1a38fdc28dfff2b090c9"",""usage"":{""completion_tokens"":196,""completion_tokens_details"":null,""prompt_tokens"":745,""prompt_tokens_details"":null,""total_tokens"":941}}"
record:14baa78ac3f1c1b74c9115dd863432f03395e9691b60e0520a80caaf83f7eba0,864089977109401601,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:15:08.707713+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,a22ab834991b10cbc7ec47a506ea71ff7cfe671fd7f16badeb151ac9c7aaba29,,True,0.240111,PROVIDER_EXCEPTION_HfHubHTTPError,{}
record:42e8437f7c5e14ab1431e9fa46122acd7ac3bea5d254ae4995ded4daf6957355,1070623402757517312,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:15:08.948488+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,89cc2757565d9d8286d1e2393e795e6b2d8b59de70319c57d7aec13d93507ece,,True,0.245584,PROVIDER_EXCEPTION_HfHubHTTPError,{}
record:01171e96f8b011732b64baffa12845aeba3410e2f9262e4412893bbf601759f2,912642447083134977,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:15:09.195009+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,d5e6c613d9f637d179c514213832a52154d22745aa24858a5bf9a223d56fffcf,,True,0.239826,PROVIDER_EXCEPTION_HfHubHTTPError,{}
record:f903881a98dc1fc818e98ad0ae597a0d6275dc9cdd6c843c98b36f8ec9cae2fb,997118644034330624,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:15:09.432390+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,f1c40c8d8bee765669c06b3eda9f60e56bbd0ed1007a5a741a6b42a9b9fc908c,,True,0.265093,PROVIDER_EXCEPTION_HfHubHTTPError,{}
record:0a50c6e802bd86144666643b18440cbb7cc5ba7e4bc4d4da542c52cd45cf87a8,866469775924281344,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:15:09.699537+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,5b1a28058cda5c9e95731df9b467b270af08914b9267b1b7c7a9994f88992362,,True,0.259254,PROVIDER_EXCEPTION_HfHubHTTPError,{}
record:a6a9dc7afac0ce3e6beda1784acd11309187d990d67daa05ac55608010462523,1083980478376484864,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:15:09.956138+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,f3a993c231520c9fb596b9821c63dd9ef629d2e051b0ed541b5d01054e7007d3,,True,0.267404,PROVIDER_EXCEPTION_HfHubHTTPError,{}
record:1fe19da70e890b07fd75005ca5fd641c0000fa550cfdefcd51d09130d70db61f,1097771097628372992,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:15:10.226765+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,dd5ebed7ac9379f83fd68d40992c04da58d9c51f6ff0fe6d69855c94c1e7278f,,True,0.288587,PROVIDER_EXCEPTION_HfHubHTTPError,{}
record:894f97e45953e40c0f8b2caf119624269ea00f9ec13ac66cbce7266b23516635,1091352590133198850,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:15:10.515385+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,05331b3f1208bf28c3bfd4896be8d6ce4cf95189b86394b8338c87c89a5f4f67,,True,0.246277,PROVIDER_EXCEPTION_HfHubHTTPError,{}
record:6ce8d3e344e064788d0ad112dc6d7db3c14be7678984f9aea2406d891b6c8fea,863981063386705920,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert Disuse Canal Road, Gagan Vihar from M.B.Pusta Road where PWD workers are cleaning the Canal due to which SDM office to Khurjee Chowk is 1/2",SUCCESS,2026-09-12T07:15:10.754288+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,830760be24617537baf9a9fc4d662a05b1424ee457e03177f3fc2cfaf65ff01f,4cc5beb562de18c05274c597a9184e266bb81561b15cc11a80561f87e8f28a33,True,2.914651,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""ea500d9861076898f7d72c51e244bd1e"",""usage"":{""completion_tokens"":431,""completion_tokens_details"":null,""prompt_tokens"":760,""prompt_tokens_details"":null,""total_tokens"":1191}}"
record:3dbc9bb6c08016a9da9b7451e9294045856d58eb2969ce55d12d40a0ca82b75f,1024156961955184640,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert near RK Ashram Marg Metro Station on Panchkuiya Road towards Connaught Place, a 15-20 feet pothole has formed on the road causing traffic disruption.",SUCCESS,2026-09-12T07:15:13.674424+00:00,20260912_blind_v2,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,ed80d67ddfdcc606591adef33cc8811ff22486d1027cb7c0e7ea191be981f660,ea6cb88485a7d7b875028ebbe10a48d8927ac35e4634934aa5d8505f8f0ef417,True,2.756477,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""cb8842ea33780473f93ffc0919bf746d"",""usage"":{""completion_tokens"":374,""completion_tokens_details"":null,""prompt_tokens"":784,""prompt_tokens_details"":null,""total_tokens"":1158}}"
