dataset_row,source_row_key,tweet_id,dataset_id_raw,tweet_url,language_recorded,original_has_devanagari,text_original,text_translated,text_for_current_parser,audit_class,possible_spatial_meaning_change,possible_toponym_change,possible_spatial_relation_change,severe_inspected,requires_manual_inspection,review_level,review_note,discrepancy_tags,known_original_toponyms,latin_dictionary_mentions_original,latin_dictionary_mentions_parser,unmatched_original_toponyms,possible_mention_count_loss,relation_flags,existing_address,existing_locations,existing_lat,existing_lon,existing_confidence
2,13,549389894830030848,5.49E+17,https://twitter.com/dtptraffic/status/549389894830030848,en,False,Traffic Alert Traffic is now normal at Jail Road towards Hari Nagar.,Traffic is now normal at Tilak Nagar towards Hari Nagar.,Traffic is now normal at Tilak Nagar towards Hari Nagar.,SEVERE_SPATIAL_DISCREPANCY,True,True,False,True,True,severe,Jail Road replaced by Tilak Nagar in an English input; method/author unknown.,PLACE_SUBSTITUTION,[],"[""Hari Nagar""]","[""Tilak Nagar"", ""Hari Nagar""]",,,,"Hari Nagar, West Delhi, Delhi, 110064, India","Jail,  Jail Road,  Hari,  Hari Nagar",28.6296489,77.1119344,7
3,16,548889847658975232,5.49E+17,https://twitter.com/dtptraffic/status/548889847658975232,en,False,"Traffic Alert Now Traffic is normal at AIIMS , in the carriageway running from AIIMS towards R.K Puram .","Now Traffic is normal at AIIMS , in the carriageway running from AIIMS towards R.K. Puram .","Now Traffic is normal at AIIMS , in the carriageway running from AIIMS towards R.K. Puram .",BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,benign,R.K Puram -> R.K. Puram; Keshav Puram is separate legacy metadata.,PUNCTUATION_ONLY,[],"[""AIIMS"", ""AIIMS""]","[""AIIMS"", ""AIIMS""]",,,,"Keshav Puram, Shri Pardeshwar Dharam Mandir Marg, Keshav Puram, North West Delhi, Delhi, 110035, India","AIIMS,  AIIMS,  RK,  RK Puram,  Puram",28.6889264,77.1616833,7
4,17,548888778723442689,5.49E+17,https://twitter.com/dtptraffic/status/548888778723442689,hi,True,Traffic Alert पटेल चौक से जी. पी. ओ. की तरफ अब यातायात सामान्य है|,Got from Patel Chowk P.O. Now traffic is normal.,Got from Patel Chowk P.O. Now traffic is normal.,SEVERE_SPATIAL_DISCREPANCY,True,True,True,True,True,severe,GPO destination becomes P.O.; direction towards GPO is lost.,TOPONYM_LOSS;DIRECTION_LOSS,"[{""canonical"": ""Patel Chowk"", ""surface"": ""पटेल चौक""}, {""canonical"": ""GPO"", ""surface"": ""जी. पी. ओ""}]",[],"[""Patel Chowk""]",GPO,,DIRECTION_CUE_NOT_PRESERVED,"West Patel Nagar, West Delhi, Delhi, India","Patel,  Patel Chowk,  Patel Chowk PO,  Chowk,  Chowk PO,  PO",28.6519279,77.162923,7
5,20,548887867519283200,5.49E+17,https://twitter.com/dtptraffic/status/548887867519283200,hi,True,Traffic Alert लाजपत नगर थाने के पास अब यातायात सामान्य है|,Lajpat Nagar police station now has normal traffic.,Lajpat Nagar police station now has normal traffic.,POSSIBLE_SPATIAL_RELATION_CHANGE,True,False,True,False,True,possible,Near Lajpat Nagar police station becomes traffic at the police station.,RELATION_LOSS,"[{""canonical"": ""Lajpat Nagar"", ""surface"": ""लाजपत नगर""}]",[],"[""Lajpat Nagar police station""]",,,NEAR_NOT_PRESERVED,"Lajpat Nagar IV, South East Delhi, Delhi, India","Lajpat,  Lajpat Nagar",28.561184,77.2398036,7
6,21,548887585352056834,5.49E+17,https://twitter.com/dtptraffic/status/548887585352056834,hi,True,Traffic Alert श्यामलाल कॉलेज से बिहारी कालोनी (रोड नंबर 57) पर अब यातायात सामान्य है|,Shyamlal College is now normal on Bihari Colony (Road No 57).,Shyamlal College is now normal on Bihari Colony (Road No 57).,SEVERE_SPATIAL_DISCREPANCY,True,False,True,True,True,severe,Shyamlal College from-origin relationship is missing.,ORIGIN_RELATION_LOSS,"[{""canonical"": ""Shyamlal College"", ""surface"": ""श्यामलाल कॉलेज""}, {""canonical"": ""Bihari Colony"", ""surface"": ""बिहारी कालोनी""}]",[],"[""Bihari Colony""]",,,EXPLICIT_FROM_NOT_PRESERVED,"Bihari Colony, Shahdara, Delhi, 110032, India","College,  Bihari,  Bihari Colony,  Colony,  Road No,  No,  No 57,  57",28.6711259,77.2827076,7
7,22,548886990297391104,5.49E+17,https://twitter.com/dtptraffic/status/548886990297391104,hi,True,Traffic Alert धौला कुआं से AIIMS की तरफ पालिका प्लेस के पास अब यातायात सामान्य है |,"Dhaula Kuan, on the AIIMS side, the traffic is now near the municipality.","Dhaula Kuan, on the AIIMS side, the traffic is now near the municipality.",SEVERE_SPATIAL_DISCREPANCY,True,True,True,True,True,severe,Palika Place becomes municipality; from/towards relations weakened.,PROPER_NAME_LITERAL_TRANSLATION;DIRECTION_LOSS,"[{""canonical"": ""Dhaula Kuan"", ""surface"": ""धौला कुआं""}, {""canonical"": ""Palika Place"", ""surface"": ""पालिका प्लेस""}]","[""AIIMS""]","[""Dhaula Kuan"", ""AIIMS""]",Palika Place,,EXPLICIT_FROM_NOT_PRESERVED,"Dhaula Kuan Enclave II, Delhi Cantonment, New Delhi, Delhi, India","Dhaula,  Dhaula Kuan,  Kuan,  AIIMS",28.60067635,77.16468537,7
8,25,548787346703802369,5.49E+17,https://twitter.com/dtptraffic/status/548787346703802369,hi,True,"Traffic Alert मेट्रो का काम चलने के कारण श्यामलाल कॉलेज से बिहारी कालोनी (रोड नंबर 57) तक यातायात ज्यादा रहेगा, असुविधा के लिए खेद है|","Due to the work of Metro, traffic from Shyamlal College to Bihari Colony (Road No 57) will be high, sorry for the inconvenience.","Due to the work of Metro, traffic from Shyamlal College to Bihari Colony (Road No 57) will be high, sorry for the inconvenience.",BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,equivalent,"Shyamlal College to Bihari Colony, Road 57 retained.",BILINGUAL_EQUIVALENT,"[{""canonical"": ""Shyamlal College"", ""surface"": ""श्यामलाल कॉलेज""}, {""canonical"": ""Bihari Colony"", ""surface"": ""बिहारी कालोनी""}]",[],"[""Bihari Colony""]",,,,"Bihari Colony, Shahdara, Delhi, 110032, India","Metro,  College,  Bihari,  Bihari Colony,  Colony,  Road No,  No,  No 57,  57",28.6711259,77.2827076,7
9,26,548784755244683265,5.49E+17,https://twitter.com/dtptraffic/status/548784755244683265,hi,True,Traffic Alert लाजपत नगर थाने के सामने MTNL वालो ने एक गड्डा खोद दिया है | जिससे यातायात मे बाधा है|,"In front of Lajpat Nagar police station, MTNL Vallo has dug a hole. There is a hindrance in traffic.","In front of Lajpat Nagar police station, MTNL Vallo has dug a hole. There is a hindrance in traffic.",BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,equivalent,Lajpat Nagar police station and in-front-of relation retained.,BILINGUAL_EQUIVALENT,"[{""canonical"": ""Lajpat Nagar"", ""surface"": ""लाजपत नगर""}]",[],"[""Lajpat Nagar police station""]",,,,"Lajpat Nagar IV, South East Delhi, Delhi, India","Lajpat,  Lajpat Nagar,  MTNL",28.561184,77.2398036,7
10,27,548526994343075840,5.49E+17,https://twitter.com/dtptraffic/status/548526994343075840,en,False,Traffic Alert Break down DTC bus No. DL1PC8733 has been removed from Kalkaji near foot over bridge. Traffic is normal now.,Break down DTC bus No. DL1PC8733 has been removed from Kalkaji near foot over bridge. Traffic is normal now.,Break down DTC bus No. DL1PC8733 has been removed from Kalkaji near foot over bridge. Traffic is normal now.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Kalkaji""]","[""Kalkaji""]",,,,"DTC Colony, Delhi, Central Delhi, Delhi, India","DTC,  No,  Kalkaji",28.69021215,77.19308426,9
11,29,548427897758048257,5.48E+17,https://twitter.com/dtptraffic/status/548427897758048257,hi,True,Traffic Alert बाल भवन गुरुद्वारा माता सुन्दरी मंडोर के पास बाजार लगा हुआ है जिसकी वजह से यातायात बाधित रहेगा| असुविधा के लिए खेद हैं|,Bal Bhavan Gurdwara Mata Sunderi Mandor has a market near which the traffic will be interrupted. Sorry for the inconvenience.,Bal Bhavan Gurdwara Mata Sunderi Mandor has a market near which the traffic will be interrupted. Sorry for the inconvenience.,UNRESOLVED_CROSS_LANGUAGE,False,False,False,False,True,automated_screen,,,[],[],"[""Gurdwara""]",,,,"Bal Bhawan, Chandni Chowk, Delhi, Central Delhi, Delhi, India","Bal,  Bal Bhavan,  Bhavan,  Gurdwara,  Gurdwara Mata,  Mata",28.6327507,77.23712916,9
