n,tweet_id,category,original,picked_translation,picked_system,indictrans2_text,chatgpt_text
1,935819217277927424,Possible toponym change,Traffic Alert चिराग दिल्ली से शेख सराय जाने वाले मार्ग को यातायात के लिए बंद कर दिया गया है I सादिक नगर से सिरी फोर्ट और चिराग दिल्ली से आउटर रिंग रोड की तरफ डायवर्सन दिया गया है I,Traffic Alert: The route from Chirag Delhi to Sheikh Sarai has been closed to traffic. Diversions have been provided from Sadiq Nagar to Siri Fort and from Chirag Delhi toward Outer Ring Road.,chatgpt,Traffic Alert The route from Chirag Delhi to Sheikh Sarai has been closed for traffic. Sadiq Nagar to Siri Fort and Chirag Delhi to Outer Ring Road have been diverted.,Traffic Alert: The route from Chirag Delhi to Sheikh Sarai has been closed to traffic. Diversions have been provided from Sadiq Nagar to Siri Fort and from Chirag Delhi toward Outer Ring Road.
2,866469775924281344,Unresolved (needs review),Traffic Alert अली गाँव रेड लाइट से बदरपुर बॉर्डर जाने वाले मार्ग में एक पेड़ गिर गया है जिससे यातायात ज्यादा है |,"Traffic Alert: A tree has fallen on the route from Ali Gaon Red Light to Badarpur Border, causing heavy traffic.",chatgpt,Traffic Alert A tree has fallen on the road leading to Badarpur border from Ali village red light causing heavy traffic.,"Traffic Alert: A tree has fallen on the route from Ali Gaon Red Light to Badarpur Border, causing heavy traffic."
3,1097367667336335362,Possible toponym change,Traffic Alert गुरुग्राम से महरौली से जाने वाले मार्ग में CDR चौक के पास जो रोड धस गई थी उसकी मरम्मत कर दी गई है यातायात अब सामान्य है | pic.twitter.com/057SFajHk2,"Traffic Alert: On the route from Gurugram to Mehrauli, the road near CDR Chowk that had subsided has been repaired; traffic is now normal.",chatgpt,Traffic Alert The road that caved in near CDR Chowk en route from Gurugram to Mehrauli has been repaired. Traffic is normal now. pic.twitter.com/057SFajHk2,"Traffic Alert: On the route from Gurugram to Mehrauli, the road near CDR Chowk that had subsided has been repaired; traffic is now normal."
4,805417084670775296,Severe spatial discrepancy,Traffic Alert रफ़ी मार्ग से जो यातायात रेड क्रॉस की तरफ आता है उसे डाइवर्ट कर दिया है|,Traffic Alert: Traffic coming from Rafi Marg toward Red Cross has been diverted.,chatgpt,Traffic Alert Traffic coming from Rafi Marg towards Red Cross has been diverted.,Traffic Alert: Traffic coming from Rafi Marg toward Red Cross has been diverted.
5,853947915655458816,Possible spatial-relation change,Traffic Alert मधुबन चौक से आशियाना चौक जाने वाले मार्ग में एक कार में आग लग जाने के कारण ट्रैफिक में बाधा है!,Traffic Alert There is a traffic obstruction on the way from Madhuban Chowk to Ashiana Chowk due to a car on fire!,indictrans2,Traffic Alert There is a traffic obstruction on the way from Madhuban Chowk to Ashiana Chowk due to a car on fire!,"Traffic Alert: On the route from Madhuban Chowk to Ashiana Chowk, traffic is obstructed because a car has caught fire."
6,786193756202475521,Unresolved (needs review),Traffic Alert मोती नगर से इंद्र लोक जाने वाले मार्ग को यातायात के लिए खोल दिया गया है I,Traffic Alert: The route from Moti Nagar to Indra Lok has been opened for traffic.,indictrans2,Traffic Alert: The route from Moti Nagar to Indra Lok has been opened for traffic.,Traffic Alert: The route from Moti Nagar to Inderlok has been opened to traffic.
7,996554165714210816,Benign / likely fine,Traffic Alert नेहरु प्लेस से संत नगर जाने वाले मार्ग में नेहरु प्लेस बस स्टैंड के सामने एक बड़ा पेड़ गिर गया है |,"Traffic Alert: On the route from Nehru Place to Sant Nagar, a large tree has fallen in front of Nehru Place Bus Stand.",chatgpt,Traffic Alert A large tree has fallen in front of the Nehru Place bus stand on the way from Nehru Place to Sant Nagar.,"Traffic Alert: On the route from Nehru Place to Sant Nagar, a large tree has fallen in front of Nehru Place Bus Stand."
8,773031551319748608,Benign / likely fine,Traffic Alert- यूनिवर्सिटी रोड पर मॉल रोड T-Point के पास पानी लीकेज होने के कारण यातायात बाधित है|,Traffic Alert: Traffic is obstructed on University Road near Mall Road T-Point because of a water leak.,chatgpt,Traffic Alert - Traffic is disrupted due to water leakage near Mall Road T-point on University Road.,Traffic Alert: Traffic is obstructed on University Road near Mall Road T-Point because of a water leak.
9,619835855885176832,Severe spatial discrepancy,Traffic Alert ईस्ट ऑफ़ कैलाश सपना सिनेमा के पास कार पर पेड़ गिरने से यहाँ पर यातायात प्रभावित है | असुविधा के लिए खेद है |,"Traffic Alert: Near Sapna Cinema in East of Kailash, traffic is affected because a tree has fallen on a car. Regret the inconvenience.",chatgpt,Traffic Alert East of 093C Traffic is affected near Kailash Sapna Cinema due to a tree falling on a car. Sorry for the inconvenience.,"Traffic Alert: Near Sapna Cinema in East of Kailash, traffic is affected because a tree has fallen on a car. Regret the inconvenience."
10,1034323999323373568,Unresolved (needs review),Traffic Alert मुंडका से राजधानी पार्क जाने वाले मार्ग पर जलभराव के कारण यातायात प्रभावित है!,"Traffic Alert: On the route from Mundka to Rajdhani Park, traffic is affected because of waterlogging.",chatgpt,Traffic Alert Traffic is affected due to waterlogging on the route from Mundka to Rajdhani Park!,"Traffic Alert: On the route from Mundka to Rajdhani Park, traffic is affected because of waterlogging."
11,867918781258977280,Severe spatial discrepancy,Traffic Alert आजाद मार्किट चौक के पास पानी की पाइपलाइन फटने के कारण आजाद मार्किट के आस पास यातायात बाधित है I,Traffic Alert Traffic movement around Azad Market is disrupted due to bursting of water pipeline near Azad Market Chowk.,indictrans2,Traffic Alert Traffic movement around Azad Market is disrupted due to bursting of water pipeline near Azad Market Chowk.,"Traffic Alert: Because a water pipeline has burst near Azad Market Chowk, traffic is obstructed around Azad Market."
12,1072331080039129088,Possible toponym change,Traffic Alert मधुबन चौक से पीरागढ़ी जाने वाले मार्ग में मंगोलपुरी फ्लाईओवर के ऊपर एक ट्रक नंबर RJ10GB0887 ख़राब होने के कारण यातायात बाधित हैI,"Traffic Alert: On the route from Madhuban Chowk to Peeragarhi, truck No. RJ10GB0887 has broken down on top of Mangolpuri Flyover, causing traffic to be obstructed.",chatgpt,"Traffic Alert A truck bearing number RJ10GB0887 has broken down on the Mangolpuri Flyover en route from Madhuban Chowk to Peeragarhi, disrupting traffic.","Traffic Alert: On the route from Madhuban Chowk to Peeragarhi, truck No. RJ10GB0887 has broken down on top of Mangolpuri Flyover, causing traffic to be obstructed."
13,1031116805543055361,Benign / likely fine,Traffic Alert ओखला मंडी गेट नंबर 1 के सामने कैप्टेन गौड़ मार्ग पर जलभराव के कारण यातायात प्रभावित है!,Traffic Alert Traffic is affected due to waterlogging on Captain Gaur Marg in front of Okhla Mandi Gate No. 1!,indictrans2,Traffic Alert Traffic is affected due to waterlogging on Captain Gaur Marg in front of Okhla Mandi Gate No. 1!,Traffic Alert: Traffic on Captain Gaur Marg is affected because of waterlogging in front of Okhla Mandi Gate No. 1.
14,878095462598705152,Unresolved (needs review),Traffic Alert वायुसेनाबाद के सामने दोनों मार्गों में गड्डे होने के कारण M.B. रोड पर यातायात प्रभावित रहेगा| कृपया इस मार्ग के प्रयोग से बचें,"Traffic Alert: Because there are potholes in both directions in front of Vayusenabad, traffic on M.B. Road will remain affected. Please avoid using this route.",chatgpt,Traffic Alert Traffic on M.B. Road will be affected due to potholes on both sides in front of Air Force Station. Please avoid using this route.,"Traffic Alert: Because there are potholes in both directions in front of Vayusenabad, traffic on M.B. Road will remain affected. Please avoid using this route."
