system,audit_class,records,expected_records,successful_candidates,automatically_approved,interpretation
indictrans2,SEVERE_SPATIAL_DISCREPANCY,77,77,77,0,"legacy regression/review subset, not new gold truth"
indictrans2,POSSIBLE_TOPONYM_CHANGE,104,104,104,0,"legacy regression/review subset, not new gold truth"
indictrans2,POSSIBLE_SPATIAL_RELATION_CHANGE,57,57,57,0,"legacy regression/review subset, not new gold truth"
indictrans2,UNRESOLVED_CROSS_LANGUAGE,548,548,548,0,"legacy regression/review subset, not new gold truth"
indictrans2,BENIGN_TEXTUAL_DIFFERENCE,29,29,29,0,"legacy regression/review subset, not new gold truth"
google,SEVERE_SPATIAL_DISCREPANCY,77,77,0,0,"legacy regression/review subset, not new gold truth"
google,POSSIBLE_TOPONYM_CHANGE,104,104,0,0,"legacy regression/review subset, not new gold truth"
google,POSSIBLE_SPATIAL_RELATION_CHANGE,57,57,0,0,"legacy regression/review subset, not new gold truth"
google,UNRESOLVED_CROSS_LANGUAGE,548,548,0,0,"legacy regression/review subset, not new gold truth"
google,BENIGN_TEXTUAL_DIFFERENCE,29,29,0,0,"legacy regression/review subset, not new gold truth"
openai,SEVERE_SPATIAL_DISCREPANCY,77,77,0,0,"legacy regression/review subset, not new gold truth"
openai,POSSIBLE_TOPONYM_CHANGE,104,104,0,0,"legacy regression/review subset, not new gold truth"
openai,POSSIBLE_SPATIAL_RELATION_CHANGE,57,57,0,0,"legacy regression/review subset, not new gold truth"
openai,UNRESOLVED_CROSS_LANGUAGE,548,548,0,0,"legacy regression/review subset, not new gold truth"
openai,BENIGN_TEXTUAL_DIFFERENCE,29,29,0,0,"legacy regression/review subset, not new gold truth"
ollama,SEVERE_SPATIAL_DISCREPANCY,77,77,0,0,"legacy regression/review subset, not new gold truth"
ollama,POSSIBLE_TOPONYM_CHANGE,104,104,0,0,"legacy regression/review subset, not new gold truth"
ollama,POSSIBLE_SPATIAL_RELATION_CHANGE,57,57,0,0,"legacy regression/review subset, not new gold truth"
ollama,UNRESOLVED_CROSS_LANGUAGE,548,548,0,0,"legacy regression/review subset, not new gold truth"
ollama,BENIGN_TEXTUAL_DIFFERENCE,29,29,0,0,"legacy regression/review subset, not new gold truth"
